"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Back Extension (Weighted Hyperextension)",,"",0,"normal",5,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Back Extension (Weighted Hyperextension)",,"",1,"normal",5,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Back Extension (Weighted Hyperextension)",,"",2,"normal",5,12,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Cable Fly Crossovers",,"dei uma roubada no ultimo mas eh isso kkkk",0,"warmup",30,15,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Cable Fly Crossovers",,"dei uma roubada no ultimo mas eh isso kkkk",1,"normal",40,12,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Cable Fly Crossovers",,"dei uma roubada no ultimo mas eh isso kkkk",2,"normal",40,12,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Cable Fly Crossovers",,"dei uma roubada no ultimo mas eh isso kkkk",3,"normal",40,12,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Incline Bench Press (Smith Machine)",,"",0,"normal",40,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Incline Bench Press (Smith Machine)",,"",1,"normal",44,5,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Incline Bench Press (Smith Machine)",,"",2,"normal",40,3,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Incline Bench Press (Smith Machine)",,"",3,"normal",40,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Lateral Raise (Cable)",,"",0,"normal",12,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Lateral Raise (Cable)",,"",1,"normal",12,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Lateral Raise (Cable)",,"",2,"normal",12,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Lateral Raise (Cable)",,"",3,"normal",12,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Lateral Raise (Cable)",,"",4,"normal",10,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Lateral Raise (Cable)",,"",5,"normal",10,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Triceps Pushdown",,"",0,"normal",35,15,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Triceps Pushdown",,"",1,"normal",45,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Triceps Pushdown",,"",2,"normal",45,8,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",10,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",10,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",2,"normal",12,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",3,"normal",12,10,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",4,"dropset",15,5,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",5,"dropset",15,5,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",6,"dropset",12,3,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",7,"dropset",12,3,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",8,"dropset",7,4,,,
"push triceps destruction","17 Mar 2026, 20:36","17 Mar 2026, 21:36","","Single Arm Triceps Pushdown (Cable)",,"",9,"dropset",7,4,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",0,"warmup",15,15,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",1,"warmup",15,15,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",2,"normal",35,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",3,"normal",35,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",4,"normal",35,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",5,"normal",35,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",6,"normal",35,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Single Arm Lat Pulldown",,"primeira vez fazendo\naprovadissimo ✅",7,"normal",35,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Pull Up",,"achei q iam mais kkkkk\nclosed grip",0,"normal",,3,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Pull Up",,"achei q iam mais kkkkk\nclosed grip",1,"normal",,4,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Pull Up",,"achei q iam mais kkkkk\nclosed grip",2,"normal",,3,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Pull Up",,"achei q iam mais kkkkk\nclosed grip",3,"normal",,3,,,
